ID,L-Y-31,L-Y-29,L-Y-25,L-Y-27,L-Y-9,L-Y-11,L-Y-43,L-Y-41,L-Y-1,L-Y-2,L-Y-3,L-Y-5,L-Y-6,L-Y-7,L-Y-8,L-Y-10,L-Y-12,L-Y-13,L-Y-14,L-Y-15,L-Y-16,L-Y-17,L-Y-18,L-Y-19,L-Y-20,L-Y-21,L-Y-22,L-Y-23,L-Y-24,L-Y-26,L-Y-28,L-Y-30,L-Y-32,L-Y-33,L-Y-34,L-Y-35,L-Y-36,L-Y-37,L-Y-38,L-Y-39,L-Y-40,L-Y-42,L-Y-44,,L-G-34,L-G-31,L-G-13,L-G-4,L-G-7,L-G-16,L-G-1,L-G-22,L-G-25,L-G-26,L-G-19,L-G-10,,L-W-34,L-W-19,L-W-1,L-W-22,L-W-10,L-W-7,L-W-4,L-W-16,L-W-28,L-W-13,L-W-25,L-W-21,,L-B-13,L-B-14,L-B-15,L-B-16,L-B-17,L-B-18,L-B-19,L-B-23,L-B-24,L-B-25,L-B-26,L-B-27,L-B-28,,L-G-2,L-G-5,L-G-8,L-G-11,L-G-14,L-G-17,L-G-20,L-G-23
xylo-1,1,,606,1189,220,1438,1,,206,79,596,,260,1727,721,176,470,4,52,21,5,10,7,16,43,6,1,734,2,205,232,1,5,6,1,83,24,,21,3,27,2,,,1011,425,333,135,120,168,115,261,269,396,244,172,,475,292,109,222,70,216,476,413,539,432,395,592,,108,104,213,238,211,172,,38,140,123,217,108,150,,6,80,12,876,19,46,824,1256
xylo-2,,,22,53,5,5,,,6,33,3,,,,,53,93,,,,,,,,,,,,,58,91,,,,,,,,,,,,,,97,535,16,11,46,28,36,26,110,190,37,51,,,,,,,,,,,,,,,17,13,28,27,14,4,,8,46,54,37,23,23,,28,30,110,218,341,32,437,303
xylo-3,,,415,278,46,146,,1,66,62,53,,180,339,150,89,25,2,8,1,1,3,8,1,4,24,23,294,10,103,220,2,2,,,1,,,8,4,29,13,,,62,90,22,9,50,32,25,31,42,82,83,53,,288,86,67,54,36,233,231,183,260,335,189,165,,11,21,19,25,8,26,,5,38,32,16,3,8,,1,44,5,92,17,10,77,60
xylo-5,646,295,,,,4,,,,3,,,,5,,,,,,,,,371,81,23,,,,,,,544,294,,,,,,,,8,,,,2,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,3,8
xylo-7,,,5,15,,1,,,2,9,1,,1,3,3,3,2,,,,,,,,,,,3,,3,7,,,,,,,,2,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,2,9,5,4,8,10,50,,4,1,,7,1,,,,,1,,,1,
xylo-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xylo-10,,,27,10,1,3,,,,2,,,3,26,1,,,,,,1,1,,,,,,12,,4,,,,,,,,,,1,,,,,19,62,27,6,51,87,39,152,111,71,13,8,,,,,,,6,,,,,,3,,16,11,20,3,9,26,,,16,3,8,,2,,,103,,24,,,12,40
xylo-11,,                                                                                                                                                                             ,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,188,5,6,43,31,24,9,81,53,16,14,,132,1,1,,10,11,2,,21,2,,1,,,3,,,,,,,,,,,,,,15,,19,,,15,18
xylo-12,,,4,4,7,1,,,,4,,,3,8,1,1,2,1,1,,,,,2,2,,,,,1,2,,4,1,,,,,,,2,,,,,25,11,8,4,,7,7,7,7,5,,,2,,,,,,1,,,1,,1,,8,5,2,2,10,,,,16,4,4,2,1,,1,2,,12,,,57,14
xylo-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xylo-15,,,,,,,,,,,,3,,,,,,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
xylo-16,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xylo-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,9,6,4,,,,4,,,,,,,,,,,,,
xylo-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,
